Game,Console,Publisher,Developer,Critic Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update_ Real
NBA 2K12,PS3_b,2K Sports,Visual Concepts,9,2.13m,1.62m,0.27m,0.05m,0.18m,04th Oct 11,04th Oct 11
NBA 2K11,X360_b,2K Sports,Visual Concepts,8.8,2.11m,1.86m,0.12m,0.01m,0.13m,05th Oct 10,05th Oct 10
PES 2009: Pro Evolution Soccer,PS3_b,Konami,Konami,7.7,2.11m,0.11m,1.34m,0.40m,0.26m,11th Nov 08,11th Nov 08
Need for Speed: Hot Pursuit 2,PS2_b,Electronic Arts,EA Seattle,8.7,2.11m,1.68m,0.31m,0.02m,0.09m,01st Oct 02,01st Oct 02
Need for Speed: Most Wanted 5-1-0,PSP_b,Electronic Arts,EA Black Box,7.4,2.09m,1.77m,0.13m,0.02m,0.17m,15th Nov 05,15th Nov 05
Grand Theft Auto: Episodes from Liberty City,PS3_b,Rockstar Games,Rockstar North,9,2.09m,0.62m,0.99m,0.13m,0.34m,13th Apr 10,13th Apr 10
Portal 2,X360_b,Valve,Valve Software,9.6,2.08m,1.41m,0.49m,0.01m,0.17m,19th Apr 11,19th Apr 11
Metal Gear Solid: Peace Walker,PSP_b,Konami,Kojima Productions,8.6,2.08m,0.46m,0.42m,0.96m,0.25m,08th Jun 10,08th Jun 10
UFC 2009 Undisputed,X360_b,THQ,Yuke's Osaka,8.4,2.07m,1.48m,0.39m,0.00m,0.19m,19th May 09,19th May 09
The Incredibles,GBA_b,THQ,Helixe,5.4,2.06m,1.15m,0.77m,0.04m,0.10m,31st Oct 04,31st Oct 04
Call of Duty 2,X360_b,Activision,Infinity Ward,8.8,2.06m,1.84m,0.04m,0.01m,0.16m,17th Nov 05,17th Nov 05
R4: Ridge Racer Type 4,PS_b,Namco,Namco,9.1,2.06m,0.68m,0.46m,0.79m,0.13m,04th May 99,04th May 99
Tom Clancy's Splinter Cell: Conviction,X360_b,Ubisoft,Ubisoft Montreal,8.6,2.06m,1.20m,0.62m,0.04m,0.19m,13th Apr 10,13th Apr 10
Need for Speed: Undercover,PS3_b,Electronic Arts,EA Vancouver,5.9,2.06m,0.63m,1.01m,0.05m,0.38m,17th Nov 08,17th Nov 08
Need for Speed: ProStreet,X360_b,Electronic Arts,EA Black Box,7.1,2.05m,1.04m,0.79m,0.01m,0.21m,15th Nov 07,15th Nov 07
Dark Souls,PS3_b,Namco Bandai,From Software,9,2.05m,0.75m,0.53m,0.54m,0.22m,04th Oct 11,04th Oct 11
Need for Speed: ProStreet,PS3_b,Electronic Arts,EA Black Box,7.2,2.04m,0.73m,0.91m,0.04m,0.36m,13th Nov 07,13th Nov 07
PGR4 - Project Gotham Racing 4,X360_b,Microsoft Game Studios,Bizarre Creations,8.6,2.04m,0.48m,1.28m,0.02m,0.25m,02nd Oct 07,02nd Oct 07
Dance Central 2,X360_b,Microsoft,Harmonix Music Systems,8.6,2.04m,1.45m,0.41m,0.01m,0.16m,25th Oct 11,10th Aug 18
Dragon Quest XI: Echoes of an Elusive Age,PS4_b,Square Enix,Square Enix,9.5,2.04m,0.29m,0.22m,1.43m,0.10m,04th Sep 18,11th Sep 18
The Sims 3,PS3_b,Electronic Arts,The Sims Studio,8.1,2.03m,0.73m,0.96m,0.02m,0.31m,26th Oct 10,26th Oct 10
Need for Speed: The Run,PS3_b,Electronic Arts,EA Black Box,6.3,2.01m,0.58m,1.05m,0.03m,0.35m,15th Nov 11,15th Nov 11
Tenchu: Stealth Assassins,PS_b,Activision,Acquire,8.8,1.99m,0.95m,0.64m,0.27m,0.13m,31st Aug 98,31st Aug 98
Harry Potter and the Chamber of Secrets,GBA_b,Electronic Arts,Eurocom Entertainment Software,7.2,1.99m,1.21m,0.64m,0.05m,0.09m,14th Nov 02,14th Nov 02
Just Cause 3,PS4_b,Square Enix,Avalanche Studios,7.5,1.98m,0.53m,1.07m,0.09m,0.30m,01st Dec 15,04th Apr 18
Hot Shots Golf: Open Tee,PSP_b,Sony Computer Entertainment,Clap Hanz,8.4,1.96m,0.50m,0.50m,0.63m,0.33m,03rd May 05,03rd May 05
Tom Clancy's Rainbow Six: Vegas,X360_b,Ubisoft,Ubisoft Montreal,8.8,1.95m,1.09m,0.65m,0.02m,0.20m,20th Nov 06,20th Nov 06
Burnout Paradise,PS3_b,Electronic Arts,Criterion Games,9,1.95m,1.01m,0.63m,0.02m,0.28m,22nd Jan 08,22nd Jan 08
FIFA Soccer 09,X360_b,Electronic Arts,EA Canada,8.7,1.94m,0.49m,1.26m,0.01m,0.18m,14th Oct 08,14th Oct 08
The Legend of Zelda: Oracle of Ages,GBC_b,Nintendo,Flagship,9.4,1.92m,0.92m,0.53m,0.41m,0.06m,13th May 01,06th Jan 18
Need for Speed: Shift,X360_b,Electronic Arts,Slightly Mad Studios,8.2,1.91m,0.73m,0.96m,0.01m,0.22m,15th Sep 09,15th Sep 09
Star Wars Rogue Leader: Rogue Squadron II,GC_b,LucasArts,Factor 5,9.2,1.90m,1.03m,0.75m,0.03m,0.09m,09th Nov 01,09th Nov 01
Tomb Raider (2013),X360_b,Square Enix,Crystal Dynamics,8.5,1.90m,0.86m,0.87m,0.01m,0.16m,05th Mar 13,06th Jan 18
Minecraft,NS_b,Mojang,4J Studios,9.2,1.89m,0.69m,0.56m,0.52m,0.12m,21st Jun 18,26th Jan 19
Ratchet & Clank Future: A Crack in Time,PS3_b,Sony Computer Entertainment,Insomniac Games,8.7,1.89m,1.05m,0.55m,0.03m,0.26m,27th Oct 09,27th Oct 09
Madden NFL 09,PS3_b,EA Sports,EA Tiburon,8.6,1.89m,1.56m,0.15m,0.00m,0.18m,12th Aug 08,12th Aug 08
FIFA 2000,PS_b,EA Sports,EA Canada,8.8,1.87m,0.22m,1.47m,0.04m,0.14m,09th Oct 99,09th Oct 99
inFAMOUS 2,PS3_b,Sony Computer Entertainment,Sucker Punch Productions,8.1,1.87m,1.05m,0.48m,0.08m,0.26m,07th Jun 11,07th Jun 11
Star Wars: The Force Unleashed,Wii_b,LucasArts,Krome Studios,6.8,1.86m,1.11m,0.56m,0.00m,0.19m,16th Sep 08,16th Sep 08
The Legend of Zelda: Oracle of Seasons,GBC_b,Nintendo,Flagship,9.3,1.86m,0.87m,0.52m,0.41m,0.06m,13th May 01,06th Jan 18
Shrek 2,PS2_b,Activision,"Luxoflux, Inc.",6.9,1.86m,1.12m,0.69m,0.03m,0.02m,28th Apr 04,28th Apr 04
The Legend of Dragoon,PS_b,Sony Computer Entertainment,SCEI,7.8,1.86m,0.94m,0.44m,0.39m,0.10m,11th Jun 00,11th Jun 00
The Evil Within,PS4_b,Bethesda Softworks,Tango Gameworks,7.7,1.86m,0.56m,0.90m,0.11m,0.28m,14th Oct 14,13th Mar 18
Forza Horizon 4,XOne_b,Microsoft Studios,Playground Games,9.2,1.84m,0.74m,0.95m,0.01m,0.15m,02nd Oct 18,01st Oct 18
BioShock Infinite,PS3_b,2K Games,Irrational Games,9.5,1.82m,0.74m,0.74m,0.04m,0.30m,26th Mar 13,09th Jan 18
The Orange Box,X360_b,Electronic Arts,Valve Software,9.7,1.82m,1.09m,0.53m,0.02m,0.17m,10th Oct 07,10th Oct 07
Crazy Taxi,DC_b,Sega,Hitmaker,9.3,1.81m,1.10m,0.51m,0.12m,0.08m,24th Jan 00,24th Jan 00
UFC 2009 Undisputed,PS3_b,THQ,Yuke's Osaka,8.4,1.76m,1.07m,0.45m,0.01m,0.24m,19th May 09,19th May 09
Just Cause 2,PS3_b,Square Enix,Avalanche Studios,8.3,1.75m,0.45m,0.92m,0.06m,0.32m,23rd Mar 10,23rd Mar 10
FIFA Soccer 08,PS3_b,EA Sports,EA Canada,8.5,1.75m,0.35m,1.07m,0.02m,0.31m,09th Oct 07,09th Oct 07
Titanfall 2,PS4_b,Electronic Arts,Respawn Entertainment,8.9,1.72m,0.75m,0.62m,0.06m,0.28m,28th Oct 16,29th Jun 18
Portal 2,PS3_b,Valve,Valve Software,9.6,1.71m,0.83m,0.62m,0.02m,0.24m,19th Apr 11,19th Apr 11
Need for Speed: Undercover,X360_b,Electronic Arts,EA Vancouver,6.3,1.69m,0.80m,0.70m,0.01m,0.18m,17th Nov 08,17th Nov 08
Harry Potter and the Sorcerer's Stone,GBA_b,Electronic Arts,Griptonite Games,6.6,1.69m,0.87m,0.66m,0.08m,0.08m,15th Nov 01,15th Nov 01
Far Cry 4,XOne_b,Ubisoft,Ubisoft Montreal,8.5,1.68m,0.85m,0.68m,0.02m,0.14m,18th Nov 14,23rd Jan 18
Saints Row 2,PS3_b,THQ,Volition Inc.,7.9,1.68m,0.88m,0.54m,0.02m,0.24m,14th Oct 08,02nd Apr 18
Time Crisis,PS_b,Namco,Namco,8.5,1.68m,0.38m,0.87m,0.33m,0.10m,31st Oct 97,31st Oct 97
Dragon Age: Origins,PS3_b,Electronic Arts,BioWare Edmonton,8.7,1.67m,0.96m,0.42m,0.08m,0.21m,03rd Nov 09,03rd Nov 09
PGR: Project Gotham Racing 2,XB_b,Microsoft Game Studios,Bizarre Creations,8.9,1.67m,0.97m,0.59m,0.04m,0.07m,17th Nov 03,17th Nov 03
MySims,Wii_b,Electronic Arts,EA Redwood Shores,7.1,1.65m,0.90m,0.54m,0.04m,0.17m,18th Sep 07,18th Sep 07
