Game,Console,Publisher,Developer,Critic Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last_Update__Real
The Sims 3,X360_b,Electronic Arts,The Sims Studio,8,2310000,1280000,820000,0,200000,26th Oct 10,0
Dead Island,PS3_b,Deep Silver,Techland,6.7,2290000,1080000,740000,150000,320000,06th Sep 11,0
Pro Evolution Soccer 2010,PS3_b,Konami,Konami,7,2280000,300000,1270000,460000,260000,03rd Nov 09,0
No Man's Sky,PS4_b,Hello Games,Hello Games,6.8,2260000,890000,970000,40000,370000,09th Aug 16,603
Guitar Hero III: Legends of Rock,PS3_b,RedOctane,Neversoft,8.2,2250000,1400000,530000,20000,300000,28th Oct 07,0
Need for Speed: Hot Pursuit,X360_b,Electronic Arts,Criterion Games,8.8,2200000,1030000,960000,0,210000,16th Nov 10,0
BioShock 2,X360_b,2K Games,2K Marin,8.6,2200000,1450000,540000,20000,200000,09th Feb 10,0
Final Fantasy XIII,X360_b,Square Enix,Square Enix,8.1,2190000,1300000,670000,10000,210000,09th Mar 10,0
Pro Evolution Soccer 2012,PS3_b,Konami,Konami,7.5,2190000,340000,970000,550000,320000,27th Sep 11,0
Need for Speed: Payback,PS4_b,Electronic Arts,Ghost Games,5.8,2180000,620000,1180000,40000,340000,10th Nov 17,145
NBA 2K12,PS3_b,2K Sports,Visual Concepts,9,2130000,1620000,270000,50000,180000,04th Oct 11,0
NBA 2K11,X360_b,2K Sports,Visual Concepts,8.8,2110000,1860000,120000,10000,130000,05th Oct 10,0
PES 2009: Pro Evolution Soccer,PS3_b,Konami,Konami,7.7,2110000,110000,1340000,400000,260000,11th Nov 08,0
Need for Speed: Hot Pursuit 2,PS2_b,Electronic Arts,EA Seattle,8.7,2110000,1680000,310000,20000,90000,01st Oct 02,0
Need for Speed: Most Wanted 5-1-0,PSP_b,Electronic Arts,EA Black Box,7.4,2090000,1770000,130000,20000,170000,15th Nov 05,0
Grand Theft Auto: Episodes from Liberty City,PS3_b,Rockstar Games,Rockstar North,9,2090000,620000,990000,130000,340000,13th Apr 10,0
Portal 2,X360_b,Valve,Valve Software,9.6,2080000,1410000,490000,10000,170000,19th Apr 11,0
Metal Gear Solid: Peace Walker,PSP_b,Konami,Kojima Productions,8.6,2080000,460000,420000,960000,250000,08th Jun 10,0
UFC 2009 Undisputed,X360_b,THQ,Yuke's Osaka,8.4,2070000,1480000,390000,0,190000,19th May 09,0
The Incredibles,GBA_b,THQ,Helixe,5.4,2060000,1150000,770000,40000,100000,31st Oct 04,0
Call of Duty 2,X360_b,Activision,Infinity Ward,8.8,2060000,1840000,40000,10000,160000,17th Nov 05,0
R4: Ridge Racer Type 4,PS_b,Namco,Namco,9.1,2060000,680000,460000,790000,130000,04th May 99,0
Tom Clancy's Splinter Cell: Conviction,X360_b,Ubisoft,Ubisoft Montreal,8.6,2060000,1200000,620000,40000,190000,13th Apr 10,0
Need for Speed: Undercover,PS3_b,Electronic Arts,EA Vancouver,5.9,2060000,630000,1010000,50000,380000,17th Nov 08,0
Need for Speed: ProStreet,X360_b,Electronic Arts,EA Black Box,7.1,2050000,1040000,790000,10000,210000,15th Nov 07,0
Dark Souls,PS3_b,Namco Bandai,From Software,9,2050000,750000,530000,540000,220000,04th Oct 11,0
Need for Speed: ProStreet,PS3_b,Electronic Arts,EA Black Box,7.2,2040000,730000,910000,40000,360000,13th Nov 07,0
PGR4 - Project Gotham Racing 4,X360_b,Microsoft Game Studios,Bizarre Creations,8.6,2040000,480000,1280000,20000,250000,02nd Oct 07,0
Dance Central 2,X360_b,Microsoft,Harmonix Music Systems,8.6,2040000,1450000,410000,10000,160000,25th Oct 11,2479
Dragon Quest XI: Echoes of an Elusive Age,PS4_b,Square Enix,Square Enix,9.5,2040000,290000,220000,1430000,100000,04th Sep 18,7
The Sims 3,PS3_b,Electronic Arts,The Sims Studio,8.1,2030000,730000,960000,20000,310000,26th Oct 10,0
Need for Speed: The Run,PS3_b,Electronic Arts,EA Black Box,6.3,2010000,580000,1050000,30000,350000,15th Nov 11,0
Tenchu: Stealth Assassins,PS_b,Activision,Acquire,8.8,1990000,950000,640000,270000,130000,31st Aug 98,0
Harry Potter and the Chamber of Secrets,GBA_b,Electronic Arts,Eurocom Entertainment Software,7.2,1990000,1210000,640000,50000,90000,14th Nov 02,0
Just Cause 3,PS4_b,Square Enix,Avalanche Studios,7.5,1980000,530000,1070000,90000,300000,01st Dec 15,854
Hot Shots Golf: Open Tee,PSP_b,Sony Computer Entertainment,Clap Hanz,8.4,1960000,500000,500000,630000,330000,03rd May 05,0
Tom Clancy's Rainbow Six: Vegas,X360_b,Ubisoft,Ubisoft Montreal,8.8,1950000,1090000,650000,20000,200000,20th Nov 06,0
Burnout Paradise,PS3_b,Electronic Arts,Criterion Games,9,1950000,1010000,630000,20000,280000,22nd Jan 08,0
FIFA Soccer 09,X360_b,Electronic Arts,EA Canada,8.7,1940000,490000,1260000,10000,180000,14th Oct 08,0
The Legend of Zelda: Oracle of Ages,GBC_b,Nintendo,Flagship,9.4,1920000,920000,530000,410000,60000,13th May 01,6077
Need for Speed: Shift,X360_b,Electronic Arts,Slightly Mad Studios,8.2,1910000,730000,960000,10000,220000,15th Sep 09,0
Star Wars Rogue Leader: Rogue Squadron II,GC_b,LucasArts,Factor 5,9.2,1900000,1030000,750000,30000,90000,09th Nov 01,0
Tomb Raider (2013),X360_b,Square Enix,Crystal Dynamics,8.5,1900000,860000,870000,10000,160000,05th Mar 13,1766
Minecraft,NS_b,Mojang,4J Studios,9.2,1890000,690000,560000,520000,120000,21st Jun 18,218
Ratchet & Clank Future: A Crack in Time,PS3_b,Sony Computer Entertainment,Insomniac Games,8.7,1890000,1050000,550000,30000,260000,27th Oct 09,0
Madden NFL 09,PS3_b,EA Sports,EA Tiburon,8.6,1890000,1560000,150000,0,180000,12th Aug 08,0
FIFA 2000,PS_b,EA Sports,EA Canada,8.8,1870000,220000,1470000,40000,140000,09th Oct 99,0
inFAMOUS 2,PS3_b,Sony Computer Entertainment,Sucker Punch Productions,8.1,1870000,1050000,480000,80000,260000,07th Jun 11,0
Star Wars: The Force Unleashed,Wii_b,LucasArts,Krome Studios,6.8,1860000,1110000,560000,0,190000,16th Sep 08,0
The Legend of Zelda: Oracle of Seasons,GBC_b,Nintendo,Flagship,9.3,1860000,870000,520000,410000,60000,13th May 01,6077
Shrek 2,PS2_b,Activision,"Luxoflux, Inc.",6.9,1860000,1120000,690000,30000,20000,28th Apr 04,0
The Legend of Dragoon,PS_b,Sony Computer Entertainment,SCEI,7.8,1860000,940000,440000,390000,100000,11th Jun 00,0
The Evil Within,PS4_b,Bethesda Softworks,Tango Gameworks,7.7,1860000,560000,900000,110000,280000,14th Oct 14,1245
Forza Horizon 4,XOne_b,Microsoft Studios,Playground Games,9.2,1840000,740000,950000,10000,150000,02nd Oct 18,-1
BioShock Infinite,PS3_b,2K Games,Irrational Games,9.5,1820000,740000,740000,40000,300000,26th Mar 13,1748
The Orange Box,X360_b,Electronic Arts,Valve Software,9.7,1820000,1090000,530000,20000,170000,10th Oct 07,0
Crazy Taxi,DC_b,Sega,Hitmaker,9.3,1810000,1100000,510000,120000,80000,24th Jan 00,0
UFC 2009 Undisputed,PS3_b,THQ,Yuke's Osaka,8.4,1760000,1070000,450000,10000,240000,19th May 09,0
Just Cause 2,PS3_b,Square Enix,Avalanche Studios,8.3,1750000,450000,920000,60000,320000,23rd Mar 10,0
FIFA Soccer 08,PS3_b,EA Sports,EA Canada,8.5,1750000,350000,1070000,20000,310000,09th Oct 07,0
Titanfall 2,PS4_b,Electronic Arts,Respawn Entertainment,8.9,1720000,750000,620000,60000,280000,28th Oct 16,609
Portal 2,PS3_b,Valve,Valve Software,9.6,1710000,830000,620000,20000,240000,19th Apr 11,0
Need for Speed: Undercover,X360_b,Electronic Arts,EA Vancouver,6.3,1690000,800000,700000,10000,180000,17th Nov 08,0
Harry Potter and the Sorcerer's Stone,GBA_b,Electronic Arts,Griptonite Games,6.6,1690000,870000,660000,80000,80000,15th Nov 01,0
Far Cry 4,XOne_b,Ubisoft,Ubisoft Montreal,8.5,1680000,850000,680000,20000,140000,18th Nov 14,1160
Saints Row 2,PS3_b,THQ,Volition Inc.,7.9,1680000,880000,540000,20000,240000,14th Oct 08,3455
Time Crisis,PS_b,Namco,Namco,8.5,1680000,380000,870000,330000,100000,31st Oct 97,0
Dragon Age: Origins,PS3_b,Electronic Arts,BioWare Edmonton,8.7,1670000,960000,420000,80000,210000,03rd Nov 09,0
PGR: Project Gotham Racing 2,XB_b,Microsoft Game Studios,Bizarre Creations,8.9,1670000,970000,590000,40000,70000,17th Nov 03,0
MySims,Wii_b,Electronic Arts,EA Redwood Shores,7.1,1650000,900000,540000,40000,170000,18th Sep 07,0
Need for Speed Carbon,X360_b,Electronic Arts,EA Black Box,7.9,1650000,760000,690000,20000,180000,31st Oct 06,0
Army of Two,X360_b,Electronic Arts,EA Montreal,6.7,1640000,1090000,370000,20000,160000,07th Mar 08,3617
Ape Escape,PS_b,Sony Computer Entertainment,SCE Japan Studio,9.3,1630000,710000,480000,320000,110000,31st May 99,7043
Kinectimals,X360_b,Microsoft Game Studios,Frontier Studio,7.5,1620000,1020000,460000,0,140000,04th Nov 10,0
Uncharted: Golden Abyss,PSV_b,Sony Computer Entertainment,SCEA Bend Studio / Naughty Dog,7.9,1620000,530000,710000,130000,250000,15th Feb 12,0
The Order: 1886,PS4_b,Sony Computer Entertainment,Ready at Dawn,6.2,1620000,440000,860000,70000,250000,20th Feb 15,1046
Rage,X360_b,Bethesda Softworks,id Software,7.9,1600000,820000,600000,30000,150000,04th Oct 11,0
Just Cause 2,X360_b,Square Enix,Avalanche Studios,8,1600000,590000,830000,20000,170000,23rd Mar 10,0
Sonic Generations,PS3_b,Sega,Sonic Team,7.3,1590000,600000,720000,20000,250000,01st Nov 11,0
Far Cry 2,X360_b,Ubisoft,Ubisoft Montreal,8.5,1590000,720000,690000,20000,180000,21st Oct 08,0
Soul Blade,PS_b,Namco,Namco,8.6,1590000,610000,410000,460000,100000,01st Jan 97,0
Pro Evolution Soccer 2008,PS3_b,Konami,Konami,7.1,1590000,40000,1100000,320000,130000,12th Mar 08,0
Devil May Cry 4,PS3_b,Capcom,Capcom,8.2,1580000,580000,450000,340000,200000,05th Feb 08,0
Pro Evolution Soccer 2010,PS2_b,Konami,Konami,7.2,1570000,100000,180000,120000,1160000,10th Nov 09,0
BioShock 2,PS3_b,2K Games,2K Marin,8.5,1550000,850000,460000,20000,220000,09th Feb 10,0
007: The World is Not Enough,N64_b,Electronic Arts,Eurocom Entertainment Software,7.4,1550000,1130000,380000,20000,30000,17th Oct 00,0
Go Vacation,Wii_b,Namco Bandai,Namco Bandai Games,7,1540000,420000,660000,330000,130000,11th Oct 11,0
Dark Cloud,PS2_b,Sony Computer Entertainment,Level 5,8.2,1540000,830000,440000,80000,190000,28th May 01,0
Forza Motorsport 7,XOne_b,Microsoft Studios,Turn 10 Studios,8.9,1520000,580000,810000,10000,120000,03rd Oct 17,100
Call of Duty 3,PS3_b,Activision,Treyarch,7.7,1510000,600000,630000,30000,260000,15th Nov 06,0
SoulCalibur II,GC_b,Namco,Namco,9.2,1500000,990000,320000,110000,80000,27th Aug 03,0
Metal Gear Rising: Revengeance,PS3_b,Konami Digital Entertainment,PlatinumGames,9,1500000,470000,410000,440000,180000,19th Feb 13,1787
WWF No Mercy,N64_b,THQ,Aki Corp.,9.1,1500000,1200000,270000,20000,20000,17th Nov 00,0
Mafia II,PS3_b,2K Games,Illusion Softworks,7,1490000,500000,700000,40000,250000,24th Aug 10,0
Dead Rising 2,X360_b,Capcom,Blue Castle Games,8.2,1490000,750000,530000,90000,130000,28th Sep 10,0
Resistance 3,PS3_b,Sony Computer Entertainment,Insomniac Games,8.3,1490000,640000,570000,50000,220000,06th Sep 11,0
007: Quantum of Solace,X360_b,Activision,Treyarch,6.6,1480000,820000,510000,10000,140000,04th Nov 08,0
Minecraft,WiiU_b,Mojang,4J Studios,5.5,1470000,500000,490000,380000,90000,17th Jun 16,779
Fight Night Round 3,X360_b,EA Sports,EA Chicago,8.6,1470000,1330000,30000,10000,100000,20th Feb 06,0
Super Monkey Ball,GC_b,Sega,Amusement Vision,9,1460000,950000,370000,100000,40000,17th Nov 01,0
Battlefield: Bad Company,X360_b,Electronic Arts,EA Digital Illusions CE,8.6,1460000,810000,460000,40000,150000,23rd Jun 08,0
Mass Effect 2,PS3_b,Electronic Arts,BioWare Edmonton,9.3,1460000,780000,460000,30000,180000,18th Jan 11,0
Homefront,X360_b,THQ,Kaos Studios,6.7,1460000,830000,480000,20000,120000,15th Mar 11,0
The House of the Dead 2 & 3 Return,Wii_b,Sega,Sega,6.5,1450000,770000,500000,30000,150000,11th Mar 08,0
BioShock,PS3_b,2K Games,2K Boston / 2K Australia / 2K Marin,9.3,1440000,750000,480000,10000,210000,21st Oct 08,0
WWE SmackDown vs Raw 2008,X360_b,THQ,Yuke's Media Creations,7.3,1430000,920000,380000,0,130000,13th Nov 07,0
Kinect Joy Ride,X360_b,Microsoft Game Studios,Big Park,5.6,1430000,920000,390000,0,120000,04th Nov 10,0
UFC Undisputed 2010,PS3_b,THQ,Yuke's Future Media Creators,8.4,1420000,800000,400000,20000,190000,25th May 10,0
Rayman Raving Rabbids,Wii_b,Ubisoft,Ubisoft Montpellier,7.5,1420000,1220000,70000,20000,110000,14th Nov 06,0
Sonic Generations,X360_b,Sega,Sonic Team,7.7,1390000,710000,540000,0,130000,01st Nov 11,0
Far Cry 2,PS3_b,Ubisoft,Ubisoft Montreal,8.4,1380000,430000,690000,10000,260000,21st Oct 08,0
Deus Ex: Human Revolution,X360_b,Square Enix,Eidos Montreal,8.8,1380000,770000,470000,20000,120000,23rd Aug 11,0
Deus Ex: Human Revolution,PS3_b,Square Enix,Eidos Montreal,8.8,1380000,500000,600000,70000,220000,23rd Aug 11,0
Crysis 2,X360_b,Electronic Arts,Crytek,8.7,1370000,730000,500000,20000,130000,22nd Mar 11,0
Dead Rising 2,PS3_b,Capcom,Blue Castle Games,8.1,1370000,430000,570000,150000,220000,28th Sep 10,0
Need for Speed: The Run,X360_b,Electronic Arts,EA Black Box,5.5,1370000,630000,570000,0,160000,15th Nov 11,0
Wolfenstein II: The New Colossus,PS4_b,Bethesda Softworks,MachineGames,9,1360000,550000,580000,10000,220000,27th Oct 17,195
Gardening Mama,DS_b,Majesco,Taito Corporation,6.6,1360000,790000,420000,10000,130000,31st Mar 09,0
Marvel vs. Capcom 3: Fate of Two Worlds,PS3_b,Capcom,Capcom,8.2,1360000,810000,280000,110000,150000,15th Feb 11,0
Metroid: Other M,Wii_b,Nintendo,Nintendo SPD Production Group 1/Team Ninja,7.7,1360000,850000,280000,130000,100000,31st Aug 10,0
Burnout Paradise,X360_b,Electronic Arts,Criterion,8.9,1350000,630000,570000,10000,140000,22nd Jan 08,0
FIFA Soccer 09,PSP_b,EA Sports,EA Canada,8.1,1350000,230000,730000,20000,370000,14th Oct 08,0
Tom Clancy's Rainbow Six: Vegas 2,PS3_b,Ubisoft,Ubisoft Montreal,8.2,1340000,660000,450000,40000,200000,19th Mar 08,0
Devil May Cry 4,X360_b,Capcom,Capcom,8.5,1340000,790000,340000,80000,130000,05th Feb 08,0
F1 2010,PS3_b,Codemasters,Codemasters Birmingham,8,1340000,250000,750000,80000,260000,21st Sep 10,0
The ICO & Shadow of the Colossus Collection,PS3_b,Sony Computer Entertainment,Bluepoint Games,9,1340000,670000,360000,130000,180000,27th Sep 11,0
Donkey Kong Jungle Beat,GC_b,Nintendo,Nintendo EAD Tokyo,7.9,1340000,840000,220000,240000,40000,14th Mar 05,0
Need for Speed Carbon,PS2_b,Electronic Arts,EA Black Box,7.7,1340000,1220000,50000,50000,10000,31st Oct 06,0
Battlefield: Bad Company,PS3_b,Electronic Arts,EA Digital Illusions CE,8.6,1340000,760000,360000,50000,170000,23rd Jun 08,0
Crysis 2,PS3_b,Electronic Arts,Crytek,8.8,1330000,480000,570000,60000,220000,22nd Mar 11,0
Alan Wake,X360_b,Microsoft Game Studios,Remedy Entertainment,8.3,1330000,660000,500000,50000,120000,18th May 10,0
Spider-Man: The Movie,GBA_b,Activision,Digital Eclipse,7.9,1330000,920000,350000,10000,50000,16th Apr 02,0
Tony Hawk's Pro Skater,GB_b,Activision,Natsume,7.1,1330000,900000,380000,10000,50000,29th Feb 00,0
Grand Theft Auto: Chinatown Wars,DS_b,Rockstar Games,Rockstar Leeds/North,9.5,1330000,580000,560000,50000,140000,17th Mar 09,0
WWE SmackDown vs Raw 2008,PS3_b,THQ,Yuke's Media Creations,7.3,1330000,620000,500000,10000,200000,13th Nov 07,0
UFC Undisputed 2010,X360_b,THQ,Yuke's Future Media Creators,8.6,1320000,900000,310000,0,110000,25th May 10,0
Fallout 76,PS4_b,Bethesda Softworks,Bethesda Game Studios,5.1,1320000,520000,490000,100000,200000,14th Nov 18,18
Need for Speed Underground Rivals,PSP_b,Electronic Arts,Team Fusion,7.6,1320000,690000,380000,20000,240000,14th Mar 05,0
MAG: Massive Action Game,PS3_b,Sony Computer Entertainment,Zipper Interactive,7.4,1320000,770000,300000,90000,160000,26th Jan 10,0
Rage,PS3_b,Bethesda Softworks,id Software,7.9,1320000,470000,590000,60000,200000,04th Oct 11,0
NBA Live 07,PS2_b,EA Sports,EA Canada,6.3,1300000,1070000,40000,20000,170000,25th Sep 06,0
The Last Guardian,PS4_b,Sony Interactive Entertainment,SIE Japan Studio,7.9,1290000,400000,580000,130000,190000,06th Dec 16,484
Need for Speed Carbon,Wii_b,Electronic Arts,EA Black Box,6.4,1280000,450000,660000,20000,150000,19th Nov 06,0
Castlevania: Symphony of the Night,PS_b,Konami,Konami Computer Entertainment Tokyo,9.3,1270000,580000,400000,210000,80000,02nd Oct 97,0
WWE '12,X360_b,THQ,"Yuke's Co., Ltd.",7.5,1270000,740000,400000,0,120000,22nd Nov 11,2622
.hack//Infection Part 1,PS2_b,Bandai,CyberConnect2,7.7,1270000,490000,380000,260000,130000,11th Feb 03,0
Tomb Raider: Underworld,PS3_b,Eidos Interactive,Crystal Dynamics,7.8,1260000,450000,550000,50000,210000,18th Nov 08,0
SOCOM: U.S. Navy SEALs Confrontation,PS3_b,Sony Computer Entertainment,Slant Six Games,6.3,1260000,940000,170000,20000,140000,14th Oct 08,0
Assassin's Creed: Bloodlines,PSP_b,Ubisoft,Griptonite Studio,6.3,1260000,430000,500000,50000,280000,17th Nov 09,0
Need for Speed: Most Wanted,X360_b,Electronic Arts,Electronic Arts,8.4,1250000,1000000,130000,20000,100000,16th Nov 05,0
Black,PS2_b,Electronic Arts,Criterion Games,7.7,1250000,1010000,40000,30000,160000,28th Feb 06,0
Cars 2,DS_b,Disney Interactive Studios,Avalanche Software,6.5,1250000,680000,410000,40000,120000,21st Jun 11,0
Need for Speed Carbon,PS3_b,Electronic Arts,EA Black Box,7.8,1240000,490000,510000,30000,200000,17th Nov 06,0
2010 FIFA World Cup South Africa,PS3_b,EA Sports,EA Canada,8.2,1230000,300000,640000,70000,220000,27th Apr 10,0
Donkey Kong Country 2,GBA_b,Nintendo,Rare Ltd.,7.6,1230000,790000,270000,120000,40000,15th Nov 04,0
Star Wars Battlefront II,PSP_b,LucasArts,Savage Entertainment,6.9,1220000,1050000,60000,10000,100000,01st Nov 05,0
Intelligent Qube,PS_b,Sony Computer Entertainment,Sony Computer Entertainment,7.4,1220000,130000,70000,1000000,20000,30th Sep 97,0
Bayonetta,PS3_b,Sega,PlatinumGames,8.6,1210000,440000,400000,210000,160000,05th Jan 10,0
FIFA Soccer 11,PSP_b,EA Sports,HB Studios,7,1210000,130000,700000,10000,360000,28th Sep 10,0
F1 2011,PS3_b,Codemasters,Codemasters Birmingham,8.4,1200000,120000,750000,110000,230000,20th Sep 11,0
Metal Gear Solid V: Ground Zeroes,PS4_b,Konami Digital Entertainment,Kojima Productions,7.6,1200000,360000,500000,170000,170000,18th Mar 14,1464
Shadow of the Colossus,PS4_b,Sony Interactive Entertainment,Bluepoint Games,9.3,1200000,440000,520000,50000,190000,06th Feb 18,294
Mario & Sonic at the London 2012 Olympic Games,3DS_b,Sega,Sega,6.5,1190000,180000,660000,270000,80000,14th Feb 12,0
Metal Gear Solid: Portable Ops,PSP_b,Konami,Kojima Productions,8.7,1190000,380000,350000,380000,90000,05th Dec 06,0
Spider-Man: The Movie,GC_b,Activision,Treyarch,7.6,1190000,860000,270000,10000,40000,15th Apr 02,0
Red Dead Redemption: Undead Nightmare,PS3_b,Rockstar Games,Rockstar San Diego,10,1180000,470000,450000,60000,190000,23rd Nov 10,0
WWE '12,PS3_b,THQ,"Yuke's Co., Ltd.",9,1180000,530000,450000,20000,170000,22nd Nov 11,2622
Mission: Impossible,N64_b,Ocean,Infogrames,6.6,1170000,740000,380000,20000,30000,18th Jul 98,0
WWE SmackDown vs. Raw 2010,PS3_b,THQ,JAKKS Pacific,8.1,1170000,480000,480000,10000,190000,20th Oct 09,0
Army of Two,PS3_b,Electronic Arts,EA Montreal,7.4,1170000,740000,260000,20000,150000,07th Mar 08,3617
Sunset Overdrive,XOne_b,Microsoft Studios,Insomniac Games,8,1160000,640000,420000,0,100000,28th Oct 14,1164
Bushido Blade,PS_b,Sony Computer Entertainment,Light Weight,8.2,1160000,390000,270000,430000,80000,30th Sep 97,0
Mirror's Edge,X360_b,Electronic Arts,EA Digital Illusions CE,7.6,1160000,510000,510000,10000,120000,11th Nov 08,3784
Medal of Honor Heroes 2,PSP_b,Electronic Arts,Team Fusion,6.6,1160000,500000,390000,20000,250000,13th Nov 07,0
FIFA Soccer 10,PSP_b,EA Sports,EA Canada,7.9,1160000,160000,680000,10000,310000,20th Oct 09,0
The Elder Scrolls V: Skyrim,NS_b,Bethesda Softworks,Bethesda Softworks,8.6,1150000,670000,320000,60000,100000,17th Nov 17,44
Dragon Quest VIII: Journey of the Cursed King,3DS_b,Nintendo,Level 5 / Armor Project,8.8,1150000,140000,110000,880000,20000,20th Jan 17,352
Ratchet & Clank: All 4 One,PS3_b,Sony Computer Entertainment,Insomniac Games,7.5,1150000,750000,220000,50000,130000,18th Oct 11,0
007: Quantum of Solace,PS3_b,Activision,Treyarch,6.6,1140000,430000,510000,20000,190000,04th Nov 08,0
Shadow of the Colossus,PS2_b,Sony Computer Entertainment,Team ICO,9.1,1140000,780000,30000,200000,130000,18th Oct 05,0
Brave Fencer Musashi,PS_b,Square,SquareSoft,8.4,1140000,250000,170000,650000,70000,31st Oct 98,0
Hot Shots Golf: Out of Bounds,PS3_b,Sony Computer Entertainment,Clap Hanz,8.3,1140000,310000,30000,760000,40000,18th Mar 08,0
Mirror's Edge,PS3_b,Electronic Arts,EA Digital Illusions CE,7.7,1130000,310000,590000,20000,210000,11th Nov 08,3784
Rocksmith,X360_b,Ubisoft,Ubisoft,8,1130000,850000,190000,10000,80000,18th Oct 11,0
Plants vs Zombies: Garden Warfare,X360_b,Electronic Arts,PopCap Games,8,1130000,540000,500000,0,90000,25th Feb 14,1440
Rocksmith,PS3_b,Ubisoft,Ubisoft,8,1130000,530000,380000,90000,130000,18th Oct 11,0
ModNation Racers,PS3_b,Sony Computer Entertainment,United Front Games,8.1,1130000,500000,400000,60000,160000,25th May 10,0
SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP_b,Sony Computer Entertainment,Zipper Interactive,7.9,1120000,1030000,0,10000,80000,08th Nov 05,0
Dragon Age II,X360_b,Electronic Arts,BioWare Corp.,8,1120000,720000,290000,10000,90000,08th Mar 11,0
Crackdown 2,X360_b,Microsoft Game Studios,Ruffian Games,7.5,1120000,630000,360000,20000,100000,06th Jul 10,0
Crash Bandicoot N. Sane Trilogy,NS_b,Activision,Toys for Bob,6,1110000,440000,570000,20000,90000,29th Jun 18,131
Castlevania: Lords of Shadow,PS3_b,Konami,Mercury Steam,8.1,1110000,500000,370000,100000,150000,05th Oct 10,0
Red Dead Redemption: Undead Nightmare,X360_b,Rockstar Games,Rockstar San Diego,10,1110000,610000,380000,20000,100000,23rd Nov 10,0
FIFA 18,NS_b,EA Sports,EA Vancouver,5.8,1100000,350000,550000,130000,70000,29th Sep 17,185
GRID,PS3_b,Codemasters,Codemasters,8.6,1100000,310000,570000,30000,190000,03rd Jun 08,0
Untold Legends: Brotherhood of the Blade,PSP_b,Sony Online Entertainment,Sony Online Entertainment,6.5,1090000,540000,330000,10000,220000,22nd Mar 05,0
Bully: Scholarship Edition,X360_b,Rockstar Games,Rockstar Vancouver/Mad Doc Software,8.1,1090000,530000,420000,30000,110000,05th Mar 08,0
Skate 2,X360_b,Electronic Arts,EA Black Box,8.2,1090000,820000,170000,10000,90000,21st Jan 09,0
Dante's Inferno,PS3_b,Electronic Arts,Visceral Games,7.3,1080000,640000,280000,40000,120000,09th Feb 10,0
Virtua Fighter 5,PS3_b,Sega,Sega-AM2,8.7,1080000,290000,520000,80000,200000,20th Feb 07,0
Pro Evolution Soccer 2014,PS3_b,Konami Digital Entertainment,Konami,8.3,1080000,30000,460000,510000,80000,24th Sep 13,1618
Grand Theft Auto: Chinatown Wars,PSP_b,Rockstar Games,Rockstar Leeds,9.2,1080000,280000,500000,30000,270000,20th Oct 09,0
Star Fox: Assault,GC_b,Nintendo,Namco,6.6,1080000,680000,180000,190000,30000,14th Feb 05,0
Marvel vs. Capcom 3: Fate of Two Worlds,X360_b,Capcom,Capcom,8.4,1070000,790000,180000,30000,80000,15th Feb 11,0
Prince of Persia,PS3_b,Ubisoft,Ubisoft Montreal,8.3,1070000,470000,410000,30000,170000,02nd Dec 08,0
Virtua Fighter,SAT_b,Sega,Sega-AM2,9,1070000,170000,120000,770000,20000,11th May 95,0
Tomb Raider: Underworld,X360_b,Eidos Interactive,Crystal Dynamics,7.5,1070000,530000,420000,10000,110000,18th Nov 08,0
Naruto: Ultimate Ninja Storm,PS3_b,Namco Bandai,CyberConnect2,7.8,1070000,490000,340000,90000,150000,04th Nov 08,0
Spore Creatures,DS_b,Electronic Arts,Foundation 9,7.2,1070000,660000,300000,0,100000,07th Sep 08,0
DiRT 3,PS3_b,Codemasters,Codemasters,9,1060000,270000,580000,10000,200000,24th May 11,0
Endless Ocean,Wii_b,Nintendo,Arika,6.8,1060000,430000,460000,90000,90000,21st Jan 08,0
Sonic Generations,3DS_b,Sega,Sonic Team,6.3,1060000,440000,520000,10000,80000,22nd Nov 11,0
Darksiders,X360_b,THQ,Vigil Games,7.8,1060000,670000,280000,10000,100000,05th Jan 10,0
Mercenaries 2: World in Flames,X360_b,Electronic Arts,Pandemic Studios,7.1,1060000,650000,300000,10000,100000,31st Aug 08,0
Call of Duty 4: Modern Warfare,DS_b,Activision,n-Space,7.3,1050000,950000,20000,10000,80000,05th Nov 07,0
Resident Evil: The Darkside Chronicles,Wii_b,Capcom,"Cavia, inc.",7.2,1050000,460000,310000,200000,90000,17th Nov 09,0
MySims Agents,Wii_b,Electronic Arts,EA Redwood Shores,7.5,1050000,630000,320000,0,100000,29th Sep 09,0
Rocksmith 2014,PS3_b,Ubisoft,Ubisoft San Francisco,9.1,1050000,560000,260000,50000,170000,22nd Oct 13,1597
WWE SmackDown vs. Raw 2010,X360_b,THQ,JAKKS Pacific,8.2,1040000,560000,370000,10000,100000,20th Oct 09,0
Sleeping Dogs,PS3_b,Square Enix,United Front Games,8.1,1040000,310000,500000,50000,170000,14th Aug 12,2030
Naruto: Clash of Ninja 2,GC_b,D3 Publisher,8ing/Raizing,7.4,1040000,440000,120000,450000,30000,26th Sep 06,0
Bomberman 64,N64_b,Hudson Soft,Hudson Soft,6.1,1040000,500000,200000,310000,30000,02nd Dec 97,0
