Game,Console,Publisher,Developer,Critic_Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Last_Update__Real,Release_Date
X-Blades,X360_b,SouthPeak_Interactive,Gaijin_Entertainment,6,140000,100000,20000,20000,10000,0,10626
X-Blades,PS3_b,SouthPeak_Interactive,Gaijin_Entertainment,5.9,140000,70000,30000,20000,10000,0,10626
Street_Fighter_IV,PS3_b,Capcom,Capcom_/_Dimps_Corporation,9.3,4190000,2040000,1050000,590000,520000,0,10633
Street_Fighter_IV,X360_b,Capcom,Capcom_/_Dimps_Corporation,9.3,2950000,1830000,700000,150000,260000,0,10633
Prinny:_Can_I_Really_Be_the_Hero?,PSP_b,NIS_America,Nippon_Ichi_Software,7.2,110000,40000,10000,50000,10000,0,10633
Blue_Dragon_Plus,DS_b,Ignition_Entertainment,Mistwalker_Corporation_/_Brownie_Brown_Inc._/_Feelplus_Inc.,6.5,210000,120000,30000,50000,10000,0,10635
Dead_Rising:_Chop_Till_You_Drop,Wii_b,Capcom,Capcom_Production_Studio_1_/_TOSE_Software,6.7,290000,150000,70000,50000,20000,0,10640
50_Cent:_Blood_on_the_Sand,X360_b,THQ,Swordfish_Studios,7.3,210000,120000,70000,0,20000,0,10640
50_Cent:_Blood_on_the_Sand,PS3_b,THQ,Swordfish_Studios,7.2,190000,100000,60000,10000,30000,0,10640
Eat_Lead:_The_Return_of_Matt_Hazard,PS3_b,D3_Publisher,Vicious_Cycle,5.3,130000,90000,20000,0,10000,0,10642
Eat_Lead:_The_Return_of_Matt_Hazard,X360_b,D3_Publisher,Vicious_Cycle,5.5,120000,100000,10000,0,10000,0,10642
Tom_Clancy's_HAWX,X360_b,Ubisoft,Ubisoft_Romania,6.9,580000,310000,190000,20000,60000,0,10648
Tom_Clancy's_HAWX,PS3_b,Ubisoft,Ubisoft_Romania,7.5,560000,210000,220000,50000,90000,0,10648
New_Play_Control!_Pikmin,Wii_b,Nintendo,Nintendo_EAD,7.7,640000,280000,130000,190000,40000,0,10654
MadWorld,Wii_b,Sega,PlatinumGames,8.1,780000,450000,240000,20000,70000,0,10655
Avalon_Code,DS_b,Marvelous_Interactive,Matrix_Software,7.1,240000,110000,0,120000,10000,0,10655
Mana_Khemia:_Student_Alliance,PSP_b,Nippon_Ichi_Software,Gust,3.2,110000,60000,0,30000,10000,0,10655
Resident_Evil_5,PS3_b,Capcom,Capcom,8.6,5100000,1960000,1420000,1080000,640000,0,10658
Resident_Evil_5,X360_b,Capcom,Capcom,8.6,3530000,2130000,930000,120000,340000,0,10658
Grand_Theft_Auto:_Chinatown_Wars,DS_b,Rockstar_Games,Rockstar_Leeds/North,9.5,1330000,580000,560000,50000,140000,0,10662
Resistance:_Retribution,PSP_b,Sony_Computer_Entertainment,SCEA_Bend_Studio,8,900000,270000,360000,50000,220000,0,10662
PES_2009:_Pro_Evolution_Soccer,Wii_b,Konami,Konami,8.4,450000,90000,260000,50000,50000,0,10662
Rune_Factory:_Frontier,Wii_b,Xseed_Games,Neverland_Company,7.9,370000,160000,130000,40000,30000,0,10662
Suikoden_Tierkreis,DS_b,Konami,Konami,7.7,270000,90000,20000,150000,10000,0,10662
Marble_Saga:_Kororinpa,Wii_b,Konami,Hudson_Soft,7.4,160000,90000,50000,0,10000,0,10662
Final_Fantasy_Crystal_Chronicles:_Echoes_of_Time,DS_b,Square_Enix,Square_Enix,7.7,470000,120000,60000,270000,20000,0,10669
Wanted:_Weapons_of_Fate,X360_b,Warner_Bros._Interactive,GRIN,6.2,370000,170000,150000,0,40000,0,10669
Wanted:_Weapons_of_Fate,PS3_b,Warner_Bros._Interactive,GRIN,6.2,290000,140000,100000,10000,40000,0,10669
Final_Fantasy_Crystal_Chronicles:_Echoes_of_Time,Wii_b,Square_Enix,Square_Enix,6.9,250000,130000,60000,50000,20000,0,10669
Tenchu:_Shadow_Assassins,PSP_b,Ubisoft,From_Software,7.5,120000,30000,30000,50000,10000,0,10669
Gardening_Mama,DS_b,Majesco,Taito_Corporation,6.6,1360000,790000,420000,10000,130000,0,10676
The_Godfather_II,X360_b,Electronic_Arts,EA_Redwood_Shores,6.2,790000,470000,230000,10000,80000,0,10683
The_Godfather_II,PS3_b,Electronic_Arts,EA_Redwood_Shores,6.4,740000,410000,210000,10000,100000,0,10683
Ninja_Blade,X360_b,Microsoft,From_Software,6.7,330000,140000,140000,20000,30000,0,10683
Dynasty_Warriors:_Gundam_2,PS3_b,Namco_Bandai,Omega_Force,5.9,490000,90000,70000,320000,30000,0,10697
Dynasty_Warriors:_Gundam_2,PS2_b,Namco_Bandai,Omega_Force,4.9,340000,40000,30000,250000,10000,0,10697
Dynasty_Warriors:_Gundam_2,X360_b,Namco_Bandai,Omega_Force,5.6,190000,70000,30000,80000,10000,0,10697
Dynasty_Warriors:_Strikeforce,PSP_b,Tecmo_Koei,Omega_Force,6.4,450000,30000,20000,380000,20000,0,10704
Velvet_Assassin,X360_b,SouthPeak_Interactive,Replay_Studios,5.3,180000,140000,20000,10000,10000,0,10706
Klonoa,Wii_b,Namco_Bandai,Paon_Corporation,7.6,160000,100000,20000,30000,10000,0,10711
Sacred_2:_Fallen_Angel,PS3_b,CDV_Software_Entertainment,Ascaron_Entertainment,7.1,610000,220000,230000,80000,90000,0,10717
Sacred_2:_Fallen_Angel,X360_b,CDV_Software_Entertainment,Ascaron_Entertainment,7,540000,290000,160000,40000,50000,0,10717
UFC_2009_Undisputed,X360_b,THQ,Yuke's_Osaka,8.4,2070000,1480000,390000,0,190000,0,10725
UFC_2009_Undisputed,PS3_b,THQ,Yuke's_Osaka,8.4,1760000,1070000,450000,10000,240000,0,10725
Terminator_Salvation,PS3_b,Warner_Bros._Interactive,GRIN,5,530000,130000,290000,10000,100000,0,10725
Yu-Gi-Oh!_5D's_Stardust_Accelerator:_World_Championship_2009,DS_b,Konami,Konami,7.5,400000,270000,10000,90000,30000,0,10725
Terminator_Salvation,X360_b,Warner_Bros._Interactive,Halcyon,5.2,350000,130000,180000,0,40000,0,10725
Cross_Edge,PS3_b,NIS_America,Compile_Heart,5.4,230000,140000,20000,50000,20000,0,10732
The_Munchables,Wii_b,Namco_Bandai,Namco_Bandai_Games,8,180000,170000,0,0,10000,0,10732
Red_Faction:_Guerrilla,X360_b,THQ,Volition_Inc.,8.4,870000,480000,290000,10000,90000,0,10739
Red_Faction:_Guerrilla,PS3_b,THQ,Volition_Inc.,8.6,740000,330000,270000,20000,120000,0,10739
Fuel,X360_b,Codemasters,Asobo_Studio,6.6,310000,90000,180000,0,40000,4079,10739
Fuel,PS3_b,Codemasters,Asobo_Studio,6.6,240000,80000,110000,0,40000,4079,10739
EA_Sports_Grand_Slam_Tennis,Wii_b,EA_Sports,EA_Vancouver,7.9,920000,280000,510000,20000,110000,0,10745
Let's_TAP,Wii_b,Sega,PROPE,7,170000,80000,60000,10000,20000,0,10753
Dynasty_Warriors_6_Empires,PS3_b,KOEI,Omega_Force,6.4,340000,140000,30000,150000,20000,0,10760
Resident_Evil_Archives:_Resident_Evil,Wii_b,Capcom,Capcom_Production_Studio_4,7.6,300000,160000,40000,80000,20000,0,10760
Dynasty_Warriors_6_Empires,X360_b,KOEI,Omega_Force,6.3,240000,160000,20000,40000,20000,0,10760
Call_of_Juarez:_Bound_in_Blood,PS3_b,Ubisoft,Techland,7.7,880000,350000,380000,10000,150000,0,10767
Call_of_Juarez:_Bound_in_Blood,X360_b,Ubisoft,Techland,7.6,600000,300000,240000,0,60000,0,10767
BlazBlue:_Calamity_Trigger,PS3_b,Aksys_Games,Arc_System_Works,8.5,570000,360000,100000,60000,60000,0,10767
BlazBlue:_Calamity_Trigger,X360_b,Aksys_Games,Arc_System_Works,8.5,360000,210000,80000,40000,30000,0,10767
The_Elder_Scrolls_IV:_Oblivion,X360_b,Take-Two_Interactive,Bethesda_Softworks,9.2,4470000,2890000,1030000,130000,410000,0,10774
The_King_of_Fighters_XII,PS3_b,Ignition_Entertainment,SNK_Playmore_Corporation,6,160000,110000,10000,30000,10000,0,10795
The_King_of_Fighters_XII,X360_b,Ignition_Entertainment,SNK_Playmore_Corporation,6.4,110000,90000,0,10000,10000,0,10795
Batman:_Arkham_Asylum,PS3_b,Eidos_Interactive,Rocksteady_Studios,9,4280000,2260000,1330000,70000,630000,0,10823
Batman:_Arkham_Asylum,X360_b,Eidos_Interactive,Rocksteady_Studios,9.1,3540000,2240000,950000,20000,330000,0,10823
Warriors_Orochi_2,PSP_b,KOEI,Omega_Force,5.3,290000,60000,0,220000,10000,0,10823
Mana_Khemia_2:_Fall_of_Alchemy,PS2_b,NIS_America,Gust,8.2,200000,70000,50000,50000,20000,0,10823
SoulCalibur:_Broken_Destiny,PSP_b,Namco_Bandai,Project_Soul,8,510000,120000,200000,70000,120000,0,10830
DiRT_2,PS3_b,Codemasters,Codemasters,8.8,990000,270000,530000,0,190000,0,10837
DiRT_2,X360_b,Codemasters,Codemasters,8.8,800000,320000,390000,0,90000,0,10837
Disgaea_2:_Dark_Hero_Days,PSP_b,NIS_America,Nippon_Ichi_Software,8.1,250000,100000,10000,120000,20000,0,10837
Need_for_Speed:_Shift,PS3_b,Electronic_Arts,Slightly_Mad_Studios,8.2,2650000,690000,1400000,40000,520000,0,10844
Need_for_Speed:_Shift,X360_b,Electronic_Arts,Slightly_Mad_Studios,8.2,1910000,730000,960000,10000,220000,0,10844
Wet,PS3_b,Bethesda_Softworks,Artificial_Mind_and_Movement,6.9,620000,220000,270000,10000,110000,0,10844
Wet,X360_b,Bethesda_Softworks,Artificial_Mind_and_Movement,6.9,500000,230000,210000,10000,50000,0,10844
Katamari_Forever,PS3_b,Namco_Bandai,Bandai_Namco_Games,7.3,410000,260000,50000,60000,40000,0,10851
Dead_Space_Extraction,Wii_b,Electronic_Arts,Visceral_Games,8.2,470000,320000,100000,10000,40000,0,10857
MySims_Agents,Wii_b,Electronic_Arts,EA_Redwood_Shores,7.5,1050000,630000,320000,0,100000,0,10858
MotorStorm:_Arctic_Edge,PSP_b,Sony_Computer_Entertainment,Bigbig_Studios,7.7,1040000,160000,580000,0,300000,0,10858
Ninja_Gaiden_Sigma_2,PS3_b,Tecmo_Koei,Team_Ninja,8.5,850000,520000,160000,80000,100000,0,10858
Undead_Knights,PSP_b,Tecmo,Team_Tachyon,6.6,120000,50000,10000,60000,10000,0,10858
Gran_Turismo_(PSP),PSN_b,Sony_Computer_Entertainment,Polyphony_Digital,7.8,2820000,430000,910000,310000,1160000,0,10860
NBA_2K10,X360_b,2K_Sports,Visual_Concepts,8.4,1010000,910000,20000,0,80000,0,10865
Operation_Flashpoint:_Dragon_Rising,X360_b,Codemasters,Codemasters,7.4,930000,360000,450000,20000,100000,0,10865
Operation_Flashpoint:_Dragon_Rising,PS3_b,Codemasters,Codemasters,7.3,910000,230000,460000,50000,170000,0,10865
NBA_2K10,PS3_b,2K_Sports,Visual_Concepts,8.2,840000,750000,10000,10000,70000,0,10865
NBA_Live_10,PS3_b,EA_Sports,EA_Canada,7.9,540000,460000,30000,10000,50000,0,10865
NBA_2K10,PSP_b,2K_Sports,Visual_Concepts,5.5,330000,300000,0,0,30000,0,10865
NBA_Live_10,PSP_b,EA_Sports,EA_Canada,5.9,240000,210000,0,10000,20000,0,10865
Afrika,PS3_b,Natsume,Rhino_Studios,6,220000,120000,0,80000,10000,0,10865
Uncharted_2:_Among_Thieves,PS3_b,Sony_Computer_Entertainment,Naughty_Dog,9.5,6740000,3280000,2220000,210000,1020000,0,10872
Mario_&_Sonic_at_the_Olympic_Winter_Games,Wii_b,Sega,Sega,6.8,4540000,1870000,1970000,220000,480000,0,10872
Mario_&_Sonic_at_the_Olympic_Winter_Games,DS_b,Sega,Sega,7.6,3470000,1210000,1630000,270000,370000,0,10872
Way_of_the_Samurai_3,PS3_b,Agetec,Acquire,6.5,520000,180000,80000,220000,40000,0,10872
Magna_Carta_2,X360_b,Namco_Bandai,SoftMax,6.6,300000,130000,70000,70000,20000,0,10872
JU-ON:_The_Grudge,Wii_b,Xseed_Games,FeelPlus,4,100000,70000,10000,10000,10000,0,10872
FIFA_Soccer_10,PS3_b,EA_Sports,EA_Canada,9,3630000,600000,2460000,50000,520000,0,10879
Borderlands,X360_b,2K_Games,Gearbox_Software,8.3,3480000,2430000,720000,30000,300000,0,10879
FIFA_Soccer_10,X360_b,EA_Sports,EA_Canada,8.9,2620000,600000,1790000,10000,230000,0,10879
WWE_SmackDown_vs._Raw_2010,PS3_b,THQ,JAKKS_Pacific,8.1,1170000,480000,480000,10000,190000,0,10879
FIFA_Soccer_10,PSP_b,EA_Sports,EA_Canada,7.9,1160000,160000,680000,10000,310000,0,10879
Grand_Theft_Auto:_Chinatown_Wars,PSP_b,Rockstar_Games,Rockstar_Leeds,9.2,1080000,280000,500000,30000,270000,0,10879
WWE_SmackDown_vs._Raw_2010,X360_b,THQ,JAKKS_Pacific,8.2,1040000,560000,370000,10000,100000,0,10879
Dragon_Ball:_Revenge_of_King_Piccolo,Wii_b,Namco_Bandai,Bandai_Namco_Games,6.1,200000,120000,30000,30000,20000,0,10879
Space_Invaders_Extreme_2,DS_b,Taito,Taito_Corporation,8.1,190000,170000,10000,0,10000,0,10879
Forza_Motorsport_3,X360_b,Microsoft_Game_Studios,Turn_10_Studios,9.2,5500000,2990000,1900000,100000,510000,0,10886
Ratchet_&_Clank_Future:_A_Crack_in_Time,PS3_b,Sony_Computer_Entertainment,Insomniac_Games,8.7,1890000,1050000,550000,30000,260000,0,10886
Grand_Theft_Auto:_Episodes_from_Liberty_City,X360_b,Rockstar_Games,Rockstar_North,9,2600000,1080000,1220000,30000,270000,0,10888
Dragon_Age:_Origins,X360_b,Electronic_Arts,BioWare_Edmonton,8.5,2560000,1760000,550000,30000,220000,0,10893
Pro_Evolution_Soccer_2010,PS3_b,Konami,Konami,7,2280000,300000,1270000,460000,260000,0,10893
Dragon_Age:_Origins,PS3_b,Electronic_Arts,BioWare_Edmonton,8.7,1670000,960000,420000,80000,210000,0,10893
Pro_Evolution_Soccer_2010,X360_b,Konami,Konami,7,810000,120000,580000,30000,80000,0,10893
Jak_and_Daxter:_The_Lost_Frontier,PSP_b,Sony_Computer_Entertainment,High_Impact_Games,7.5,620000,180000,280000,0,160000,0,10893
Call_of_Duty:_Modern_Warfare_2,X360_b,Activision,Infinity_Ward,9.5,13530000,8540000,3630000,80000,1280000,0,10900
Call_of_Duty:_Modern_Warfare_2,PS3_b,Activision,Infinity_Ward,9.5,10610000,4990000,3660000,380000,1590000,0,10900
Pro_Evolution_Soccer_2010,PS2_b,Konami,Konami,7.2,1570000,100000,180000,120000,1160000,0,10900
Dragon_Ball:_Raging_Blast,PS3_b,Namco_Bandai,Spike,5.6,770000,370000,190000,110000,100000,0,10900
Harvest_Moon:_Sunshine_Islands,DS_b,Natsume,Marvelous_Interactive,9,570000,350000,30000,170000,30000,0,10900
Pro_Evolution_Soccer_2010,Wii_b,Konami,Konami,8.1,510000,120000,270000,60000,50000,0,10900
Dragon_Ball:_Raging_Blast,X360_b,Namco_Bandai,Spike,5.8,510000,360000,80000,20000,40000,0,10900
Assassin's_Creed_II,PS3_b,Ubisoft,Ubisoft_Montreal,9,5570000,2540000,1950000,210000,860000,2966,10907
Assassin's_Creed_II,X360_b,Ubisoft,Ubisoft_Montreal,9.1,5300000,3140000,1550000,80000,520000,0,10907
LittleBigPlanet,PSP_b,Sony_Computer_Entertainment,SCEE_Cambridge,8.8,2610000,650000,1270000,10000,680000,3301,10907
Assassin's_Creed:_Bloodlines,PSP_b,Ubisoft,Griptonite_Studio,6.3,1260000,430000,500000,50000,280000,0,10907
Resident_Evil:_The_Darkside_Chronicles,Wii_b,Capcom,Cavia__inc.,7.2,1050000,460000,310000,200000,90000,0,10907
Yu-Gi-Oh!_5D's_Tag_Force_4,PSP_b,Konami,Konami,7,440000,190000,70000,120000,50000,0,10907
Resident_Evil_Archives:_Resident_Evil_Zero,Wii_b,Capcom,Capcom_Production_Studio_4,5.8,240000,130000,40000,60000,10000,0,10921
Silent_Hill:_Shattered_Memories,Wii_b,Konami,Climax_Group,7.3,470000,220000,190000,10000,50000,0,10928
Final_Fantasy_Crystal_Chronicles:_The_Crystal_Bearers,Wii_b,Square_Enix,Square_Enix,6.7,390000,210000,80000,80000,30000,0,10946
Bayonetta,PS3_b,Sega,PlatinumGames,8.6,1210000,440000,400000,210000,160000,0,10955
Darksiders,X360_b,THQ,Vigil_Games,7.8,1060000,670000,280000,10000,100000,0,10955
Bayonetta,X360_b,Sega,PlatinumGames,8.9,930000,510000,250000,90000,80000,0,10955
Darksiders,PS3_b,THQ,Vigil_Games,7.8,280000,20000,140000,20000,100000,0,10955
Army_of_Two:_The_40th_Day,X360_b,Electronic_Arts,EA_Montreal,7.1,990000,650000,240000,0,90000,0,10962
Army_of_Two:_The_40th_Day,PS3_b,Electronic_Arts,EA_Montreal,7.1,850000,440000,270000,10000,130000,0,10962
The_Sky_Crawlers:_Innocent_Aces,Wii_b,Xseed_Games,Project_ACES,7.3,120000,80000,20000,10000,10000,0,10962
Silent_Hill:_Shattered_Memories,PS2_b,Konami,Climax_Group,8,590000,130000,220000,10000,230000,0,10969
Silent_Hill:_Shattered_Memories,PSP_b,Konami,Climax_Group,7.8,310000,90000,130000,10000,70000,0,10969
Mass_Effect_2,X360_b,Electronic_Arts,BioWare_Edmonton,9.5,3100000,1990000,810000,30000,270000,0,10976
MAG:_Massive_Action_Game,PS3_b,Sony_Computer_Entertainment,Zipper_Interactive,7.4,1320000,770000,300000,90000,160000,0,10976
Tatsunoko_vs._Capcom:_Ultimate_All-Stars,Wii_b,Capcom,Eighting,8.3,540000,300000,160000,30000,50000,0,10976
No_More_Heroes_2:_Desperate_Struggle,Wii_b,Ubisoft,Grasshopper_Manufacture,8.5,400000,200000,110000,40000,30000,0,10976
White_Knight_Chronicles:_International_Edition,PS3_b,Sony_Computer_Entertainment,Level_5,6.3,950000,340000,160000,360000,90000,0,10983
BioShock_2,X360_b,2K_Games,2K_Marin,8.6,2200000,1450000,540000,20000,200000,0,10990
BioShock_2,PS3_b,2K_Games,2K_Marin,8.5,1550000,850000,460000,20000,220000,0,10990
Dante's_Inferno,PS3_b,Electronic_Arts,Visceral_Games,7.3,1080000,640000,280000,40000,120000,0,10990
Dante's_Inferno,X360_b,Electronic_Arts,Visceral_Games,7,920000,630000,200000,20000,80000,0,10990
Star_Ocean:_The_Last_Hope_International,PS3_b,Square_Enix,tri-Ace,8.1,730000,280000,150000,220000,70000,0,10990
Ace_Attorney_Investigations:_Miles_Edgeworth,DS_b,Capcom,Capcom,7.7,700000,230000,140000,300000,40000,0,10997
SOCOM:_U.S._Navy_SEALs_Fireteam_Bravo_3,PSP_b,Sony_Computer_Entertainment,Slant_Six_Games,7.5,450000,170000,130000,60000,90000,0,10997
Dynasty_Warriors:_Strikeforce,PS3_b,Tecmo_Koei,Omega_Force,6.8,290000,110000,80000,70000,30000,0,10997
Dynasty_Warriors:_Strikeforce,X360_b,Tecmo_Koei,Omega_Force,7.3,230000,130000,60000,20000,20000,0,10997
Tropico_3,X360_b,Kalypso,Haemimont_Games,7.7,220000,150000,20000,30000,10000,0,10997
Endless_Ocean:_Blue_World,Wii_b,Nintendo,Arika,7.6,870000,460000,220000,120000,60000,0,11003
Yu-Gi-Oh!_5D's_World_Championship_2010_Reverse_of_Arcadia,DS_b,Konami,Konami,7.6,310000,180000,20000,90000,20000,0,11004
Deadly_Premonition,X360_b,Ignition_Entertainment,Access_Games,6,260000,180000,60000,0,20000,0,11004
Last_Rebellion,PS3_b,NIS_America,Hit_Maker,4.8,90000,60000,10000,10000,10000,0,11004
Battlefield:_Bad_Company_2,X360_b,Electronic_Arts,EA_Digital_Illusions_CE,9,3480000,2110000,1010000,40000,330000,0,11012
Battlefield:_Bad_Company_2,PS3_b,Electronic_Arts,EA_Digital_Illusions_CE,8.9,2960000,1330000,1110000,80000,440000,0,11012
Dante's_Inferno,PSP_b,Electronic_Arts,Visceral_Games,6.6,200000,120000,40000,10000,20000,0,11012
Final_Fantasy_XIII,PS3_b,Square_Enix,Square_Enix,8,5350000,1750000,1230000,1870000,510000,0,11019
Final_Fantasy_XIII,X360_b,Square_Enix,Square_Enix,8.1,2190000,1300000,670000,10000,210000,0,11019
Calling,Wii_b,Hudson_Soft,Hudson_Soft,4.8,110000,60000,40000,0,10000,0,11019
BlazBlue:_Calamity_Trigger_Portable,PSP_b,Aksys_Games,Arc_System_Works,7.9,110000,70000,10000,30000,10000,0,11019
Resonance_of_Fate,PS3_b,Sega,tri-Ace,7.5,740000,200000,220000,240000,80000,0,11026
METRO_2033,X360_b,THQ,4a-games,7.4,540000,220000,230000,30000,50000,0,11026
Fragile_Dreams:_Farewell_Ruins_of_the_Moon,Wii_b,Xseed_Games,Tri-Crescendo,6.7,370000,160000,120000,60000,30000,0,11026
Resonance_of_Fate,X360_b,Sega,tri-Ace,7.4,330000,120000,130000,60000,30000,0,11026
Infinite_Space,DS_b,Sega,PlatinumGames_/_Nude_Maker,7.2,200000,60000,50000,70000,10000,0,11026
Just_Cause_2,PS3_b,Square_Enix,Avalanche_Studios,8.3,1750000,450000,920000,60000,320000,0,11033
Just_Cause_2,X360_b,Square_Enix,Avalanche_Studios,8,1600000,590000,830000,20000,170000,0,11033
WarioWare_D.I.Y.,DS_b,Nintendo,Intelligent_Systems,8.3,590000,170000,180000,200000,40000,0,11038
Sakura_Wars:_So_Long__My_Love,PS2_b,NIS_America,RED_Entertainment,8.8,290000,70000,50000,150000,20000,0,11040
Dead_or_Alive_Paradise,PSP_b,Tecmo,Team_Ninja,4.5,200000,80000,20000,70000,20000,0,11040
Grand_Theft_Auto:_Episodes_from_Liberty_City,PS3_b,Rockstar_Games,Rockstar_North,9,2090000,620000,990000,130000,340000,0,11054
Tom_Clancy's_Splinter_Cell:_Conviction,X360_b,Ubisoft,Ubisoft_Montreal,8.6,2060000,1200000,620000,40000,190000,0,11054
2010_FIFA_World_Cup_South_Africa,PS3_b,EA_Sports,EA_Canada,8.2,1230000,300000,640000,70000,220000,0,11068
2010_FIFA_World_Cup_South_Africa,X360_b,EA_Sports,EA_Canada,8.4,850000,320000,420000,20000,90000,0,11068
NieR,PS3_b,Square_Enix,Cavia_Inc.,6.6,630000,170000,190000,200000,70000,0,11068
2010_FIFA_World_Cup_South_Africa,PSP_b,EA_Sports,EA_Canada,6.8,470000,90000,230000,30000,120000,0,11068
2010_FIFA_World_Cup_South_Africa,Wii_b,EA_Sports,EA_Canada,6.8,420000,230000,150000,10000,40000,0,11068
NieR,X360_b,Square_Enix,Cavia_Inc.,6.4,290000,130000,100000,40000,20000,0,11068
Dead_to_Rights:_Retribution,PS3_b,Namco_Bandai,Volatile_Games,6,280000,100000,120000,20000,50000,0,11068
Dead_to_Rights:_Retribution,X360_b,Namco_Bandai,Volatile_Games,5.7,210000,110000,80000,0,20000,0,11068
Picross_3D,DS_b,Nintendo,HAL_Laboratory,8.7,500000,280000,30000,160000,30000,0,11074
Lost_Planet_2,PS3_b,Capcom,Capcom,6.6,950000,290000,340000,200000,120000,0,11082
Lost_Planet_2,X360_b,Capcom,Capcom,6.5,760000,380000,240000,80000,60000,0,11082
Red_Dead_Redemption,X360_b,Rockstar_Games,Rockstar_San_Diego,9.5,6500000,3770000,2030000,90000,600000,0,11089
Alan_Wake,X360_b,Microsoft_Game_Studios,Remedy_Entertainment,8.3,1330000,660000,500000,50000,120000,0,11089
Prince_of_Persia:_The_Forgotten_Sands,X360_b,Ubisoft,Ubisoft_Montreal,7.5,620000,300000,260000,0,60000,0,11089
Blue_Dragon:_Awakened_Shadow,DS_b,D3_Publisher,Mistwalker_Corporation_/_tri-Crescendo_/_Bird_Studio,5.7,100000,60000,0,30000,0,0,11089
UFC_Undisputed_2010,PS3_b,THQ,Yuke's_Future_Media_Creators,8.4,1420000,800000,400000,20000,190000,0,11096
UFC_Undisputed_2010,X360_b,THQ,Yuke's_Future_Media_Creators,8.6,1320000,900000,310000,0,110000,0,11096
ModNation_Racers,PS3_b,Sony_Computer_Entertainment,United_Front_Games,8.1,1130000,500000,400000,60000,160000,0,11096
Blur,PS3_b,Activision,Bizarre_Creations,8.3,720000,220000,370000,20000,120000,0,11096
Blur,X360_b,Activision,Bizarre_Creations,8.3,590000,250000,270000,0,60000,0,11096
ModNation_Racers,PSP_b,Sony_Computer_Entertainment,SCE_San_Diego_Studio,7.7,540000,110000,270000,20000,140000,2808,11096
Tetris_Party_Deluxe,Wii_b,Majesco,Tetris_Online__Inc,7.3,560000,330000,160000,20000,50000,0,11103
Metal_Gear_Solid:_Peace_Walker,PSP_b,Konami,Kojima_Productions,8.6,2080000,460000,420000,960000,250000,0,11110
Mega_Man_Zero_Collection,DS_b,Capcom,Inti_Creates,7.5,310000,170000,10000,110000,20000,0,11110
Dragon_Ball:_Origins_2,DS_b,Namco_Bandai,Game_Republic,6.9,160000,50000,20000,80000,10000,0,11124
Sin_and_Punishment:_Star_Successor,Wii_b,Nintendo,Treasure_Co.__Ltd.,8.4,430000,190000,140000,60000,30000,0,11129
Singularity,X360_b,Activision,Raven_Software,7.7,320000,240000,40000,0,30000,0,11131
DeathSmiles,X360_b,Aksys_Games,Cave,8,280000,150000,60000,50000,20000,0,11131
Singularity,PS3_b,Activision,Raven_Software,7.8,240000,170000,30000,10000,30000,0,11131
Hot_Shots_Tennis:_Get_a_Grip,PSP_b,Sony_Computer_Entertainment,Clap_Hanz,8,230000,80000,0,130000,20000,0,11131
Trinity_Universe,PS3_b,NIS_America,Nippon_Ichi_Software_/_Gust,6.2,180000,70000,60000,30000,20000,0,11131
Crackdown_2,X360_b,Microsoft_Game_Studios,Ruffian_Games,7.5,1120000,630000,360000,20000,100000,0,11138
BlazBlue:_Continuum_Shift,PS3_b,Aksys_Games,Arc_System_Works,8.7,410000,210000,80000,90000,40000,0,11159
BlazBlue:_Continuum_Shift,X360_b,Aksys_Games,Arc_System_Works,8.6,320000,230000,40000,20000,20000,0,11159
Clash_of_the_Titans:_The_Videogame,X360_b,Namco_Bandai,Game_Republic,3.8,160000,80000,60000,0,20000,0,11159
Kane_&_Lynch_2:_Dog_Days,PS3_b,Square_Enix,IO_Interactive,6.3,590000,170000,280000,50000,100000,0,11180
Kane_&_Lynch_2:_Dog_Days,X360_b,Square_Enix,IO_Interactive,6.4,490000,200000,230000,10000,50000,0,11180
Mafia_II,PS3_b,2K_Games,Illusion_Softworks,7,1490000,500000,700000,40000,250000,0,11187
Metroid:_Other_M,Wii_b,Nintendo,Nintendo_SPD_Production_Group_1/Team_Ninja,7.7,1360000,850000,280000,130000,100000,0,11194
Valkyria_Chronicles_II,PSP_b,Sega,Sega_WOW_Overworks,8.1,540000,120000,160000,180000,90000,0,11194
Ace_Combat:_Joint_Assault,PSP_b,Namco_Bandai,Project_ACES,7,290000,60000,50000,150000,30000,0,11194
R.U.S.E.,PS3_b,Ubisoft,Eugen_Systems,8,500000,180000,220000,20000,80000,0,11201
R.U.S.E.,X360_b,Ubisoft,Eugen_Systems,8,270000,120000,110000,0,20000,0,11201
Halo:_Reach,X360_b,Microsoft_Game_Studios,Bungie,9.3,9970000,7080000,2010000,80000,800000,2947,11208
Sports_Champions,PS3_b,Sony_Computer_Entertainment,SCE_San_Diego_Studio,7.6,3880000,2150000,1130000,100000,500000,0,11211
EyePet,PS3_b,Sony_Computer_Entertainment,SCEE_London_Studio,6.9,1010000,370000,520000,40000,90000,0,11211
Kung_Fu_Rider,PS3_b,Sony_Computer_Entertainment,SCE_Japan_Studio,4.3,200000,60000,100000,10000,40000,2919,11211
F1_2010,PS3_b,Codemasters,Codemasters_Birmingham,8,1340000,250000,750000,80000,260000,0,11215
