Game,Console,Publisher,Developer,Critic_Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Last_Update__Real,Release_Date
Silent_Hill:_Origins,PSP_b,Konami,Climax_Group,7.8,520000,220000,160000,40000,100000,0,10166
Assassin's_Creed,X360_b,Ubisoft,Ubisoft_Montreal,8.2,5550000,3280000,1640000,70000,560000,0,10173
Assassin's_Creed,PS3_b,Ubisoft,Ubisoft_Montreal,8.2,4830000,1910000,2010000,90000,820000,0,10173
Cooking_Mama_2:_Dinner_With_Friends,DS_b,Majesco,Office_Create,6.9,3580000,1600000,1490000,100000,390000,0,10173
Need_for_Speed:_ProStreet,PS3_b,Electronic_Arts,EA_Black_Box,7.2,2040000,730000,910000,40000,360000,0,10173
WWE_SmackDown_vs_Raw_2008,X360_b,THQ,Yuke's_Media_Creations,7.3,1430000,920000,380000,0,130000,0,10173
WWE_SmackDown_vs_Raw_2008,PS3_b,THQ,Yuke's_Media_Creations,7.3,1330000,620000,500000,10000,200000,0,10173
Medal_of_Honor_Heroes_2,PSP_b,Electronic_Arts,Team_Fusion,6.6,1160000,500000,390000,20000,250000,0,10173
Kane_&_Lynch:_Dead_Men,X360_b,Eidos_Interactive,IO_Interactive,6.8,760000,360000,310000,10000,80000,0,10173
Kane_&_Lynch:_Dead_Men,PS3_b,Eidos_Interactive,IO_Interactive,6.8,750000,290000,320000,10000,130000,0,10173
Metal_Gear_Solid:_Portable_Ops_Plus,PSP_b,Konami,Kojima_Productions,6.9,690000,260000,10000,260000,170000,0,10173
Need_for_Speed:_ProStreet,X360_b,Electronic_Arts,EA_Black_Box,7.1,2050000,1040000,790000,10000,210000,0,10175
Uncharted:_Drake's_Fortune,PS3_b,Sony_Computer_Entertainment,Naughty_Dog,8.7,4970000,2320000,1730000,120000,800000,0,10176
Mass_Effect,X360_b,Microsoft_Game_Studios,BioWare_Edmonton,9.2,2910000,1830000,790000,30000,270000,0,10180
Time_Crisis_4,PS3_b,Namco_Bandai,Bandai_Namco_Games,6.1,830000,320000,320000,50000,140000,0,10180
Ghost_Squad,Wii_b,Sega,Polygon_Magic,7,770000,420000,210000,80000,70000,0,10180
Final_Fantasy_XI:_Wings_of_the_Goddess,X360_b,Square_Enix,Square_Enix,6.5,320000,280000,0,20000,30000,0,10180
Trauma_Center:_New_Blood,Wii_b,Atlus,Atlus_Co.,7.5,290000,220000,40000,10000,20000,0,10180
Dragon_Ball_Z:_Budokai_Tenkaichi_3,Wii_b,Atari,Spike_/_Bandai_Namco_Games,7.5,1030000,320000,360000,260000,80000,0,10193
NiGHTS:_Journey_of_Dreams,Wii_b,Sega,Sonic_Team,7,410000,320000,20000,40000,30000,0,10208
Sonic_Riders:_Zero_Gravity,Wii_b,Sega,Sonic_Team,5.8,910000,480000,320000,20000,90000,0,10228
Endless_Ocean,Wii_b,Nintendo,Arika,6.8,1060000,430000,460000,90000,90000,0,10241
Mario_&_Sonic_at_the_Olympic_Games,DS_b,Sega,Sega,7,5100000,1630000,2460000,440000,570000,0,10242
Burnout_Paradise,PS3_b,Electronic_Arts,Criterion_Games,9,1950000,1010000,630000,20000,280000,0,10242
Burnout_Paradise,X360_b,Electronic_Arts,Criterion,8.9,1350000,630000,570000,10000,140000,0,10242
No_More_Heroes,Wii_b,Ubisoft,Grasshopper_Manufacture,8.2,560000,290000,170000,40000,50000,0,10242
Bomberman_Land,Wii_b,Hudson_Soft,Hudson_Soft,6,170000,110000,20000,30000,10000,0,10249
Devil_May_Cry_4,PS3_b,Capcom,Capcom,8.2,1580000,580000,450000,340000,200000,0,10256
Devil_May_Cry_4,X360_b,Capcom,Capcom,8.5,1340000,790000,340000,80000,130000,0,10256
Turok,X360_b,Touchstone,Propaganda_Games,6.6,750000,460000,200000,10000,70000,0,10256
Lost_Odyssey,X360_b,Microsoft_Game_Studios,Mistwalker_Corporation_/_Feelplus_Inc.,7.5,900000,450000,260000,110000,80000,0,10263
Dark_Messiah_of_Might_and_Magic_Elements,X360_b,Ubisoft,Arkane_Studios_/_Floodgate_Entertainment_/_Kuju_Entertainment,5,200000,160000,20000,10000,20000,0,10263
Need_for_Speed:_ProStreet,PSP_b,Electronic_Arts,EA_Black_Box,5.6,780000,240000,330000,10000,190000,0,10269
Apollo_Justice:_Ace_Attorney,DS_b,Capcom,Capcom,8,990000,280000,50000,640000,30000,0,10270
Dynasty_Warriors_6,X360_b,KOEI,Omega_Force,6.2,300000,150000,60000,60000,20000,0,10270
Patapon,PSP_b,Sony_Computer_Entertainment,Pyramid/JAPAN_Studio,8.7,820000,330000,250000,70000,170000,0,10277
Lost_Planet:_Extreme_Condition,PS3_b,Capcom,Capcom,6.3,640000,310000,170000,70000,80000,0,10277
Mystery_Dungeon:_Shiren_the_Wanderer,DS_b,Sega,ChunSoft,7.1,520000,170000,0,330000,20000,0,10284
Bully:_Scholarship_Edition,X360_b,Rockstar_Games,Rockstar_Vancouver/Mad_Doc_Software,8.1,1090000,530000,420000,30000,110000,0,10285
Army_of_Two,X360_b,Electronic_Arts,EA_Montreal,6.7,1640000,1090000,370000,20000,160000,3617,10287
Army_of_Two,PS3_b,Electronic_Arts,EA_Montreal,7.4,1170000,740000,260000,20000,150000,3617,10287
Pro_Evolution_Soccer_2008,PS2_b,Konami,Konami,8.2,3630000,50000,0,640000,2930000,0,10291
The_House_of_the_Dead_2_&_3_Return,Wii_b,Sega,Sega,6.5,1450000,770000,500000,30000,150000,0,10291
Final_Fantasy_Crystal_Chronicles:_Ring_of_Fates,DS_b,Square_Enix,Square_Enix,7.7,660000,220000,10000,420000,20000,0,10291
Pro_Evolution_Soccer_2008,PS3_b,Konami,Konami,7.1,1590000,40000,1100000,320000,130000,0,10292
Pro_Evolution_Soccer_2008,PSP_b,Konami,Konami,7.8,980000,20000,530000,190000,250000,0,10292
Tom_Clancy's_Rainbow_Six:_Vegas_2,X360_b,Ubisoft,Ubisoft_Montreal,8.2,2420000,1560000,610000,20000,230000,0,10298
Hot_Shots_Golf:_Out_of_Bounds,PS3_b,Sony_Computer_Entertainment,Clap_Hanz,8.3,1140000,310000,30000,760000,40000,0,10298
Tom_Clancy's_Rainbow_Six:_Vegas_2,PS3_b,Ubisoft,Ubisoft_Montreal,8.2,1340000,660000,450000,40000,200000,0,10299
Dark_Sector,X360_b,D3_Publisher,Digital_Extremes,7.1,480000,220000,200000,10000,50000,0,10305
Dark_Sector,PS3_b,D3_Publisher,Digital_Extremes,7.2,470000,230000,160000,10000,70000,0,10305
Warriors_Orochi,PSP_b,KOEI,Omega_Force_/_Koei_Canada,6.4,200000,20000,0,180000,0,0,10305
Opoona,Wii_b,KOEI,ArtePiazza,6.4,100000,80000,0,10000,10000,0,10305
Baroque,Wii_b,Atlus,Sting,5.2,80000,70000,0,0,10000,0,10319
Arcana_Heart,PS2_b,Atlus,Examu_Inc.,8.1,160000,60000,50000,40000,20000,0,10321
Shin_Megami_Tensei:_Persona_3_FES,PS2_b,Atlus,Atlus,8.7,630000,220000,200000,160000,50000,3548,10333
Grand_Theft_Auto_IV,X360_b,Rockstar_Games,Rockstar_North,10,11090000,6800000,3110000,140000,1040000,0,10340
Grand_Theft_Auto_IV,PS3_b,Rockstar_Games,Rockstar_North,10,10570000,4790000,3730000,440000,1620000,0,10340
Haze,PS3_b,Ubisoft,Free_Radical_Design,5.6,990000,490000,330000,20000,150000,0,10361
GRID,PS3_b,Codemasters,Codemasters,8.6,1100000,310000,570000,30000,190000,0,10375
GRID,X360_b,Codemasters,Codemasters,8.7,870000,330000,440000,10000,90000,0,10375
Hot_Shots_Golf:_Open_Tee_2,PSP_b,Sony_Computer_Entertainment,Clap_Hanz,8,680000,210000,110000,280000,80000,0,10375
Dragon_Ball_Z:_Burst_Limit,PS3_b,Atari,Dimps_Corporation,7.3,850000,220000,340000,180000,120000,0,10382
Dragon_Ball_Z:_Burst_Limit,X360_b,Atari,Dimps_Corporation,7.3,490000,240000,180000,30000,50000,0,10382
Space_Invaders_Extreme,DS_b,Square_Enix,Taito_Corporation,8.3,150000,120000,10000,10000,10000,0,10389
Secret_Agent_Clank,PSP_b,Sony_Computer_Entertainment,High_Impact_Games,7,140000,40000,40000,40000,20000,0,10389
Space_Invaders_Extreme,PSP_b,Square_Enix,GULTI_co._ltd.,8.2,90000,60000,20000,10000,10000,0,10389
Guitar_Hero:_On_Tour,DS_b,Activision,Vicarious_Visions,7.1,3460000,2100000,1010000,10000,350000,0,10394
Battlefield:_Bad_Company,X360_b,Electronic_Arts,EA_Digital_Illusions_CE,8.6,1460000,810000,460000,40000,150000,0,10395
Battlefield:_Bad_Company,PS3_b,Electronic_Arts,EA_Digital_Illusions_CE,8.6,1340000,760000,360000,50000,170000,0,10395
Top_Spin_3,PS3_b,2K_Sports,Pam_Development,7.8,570000,80000,370000,0,120000,0,10395
Alone_in_the_Dark,X360_b,Atari,Eden_Studios,6.3,490000,140000,300000,0,50000,0,10395
Unreal_Tournament_III,X360_b,Midway_Games,Epic_Games,7.8,470000,250000,170000,10000,50000,0,10409
Sid_Meier's_Civilization_Revolution,X360_b,2K_Games,Firaxis_Games,8.4,830000,580000,170000,0,70000,0,10410
Sid_Meier's_Civilization_Revolution,PS3_b,2K_Games,Firaxis_Games,8.4,780000,490000,190000,10000,90000,0,10410
Sid_Meier's_Civilization_Revolution,DS_b,2K_Games,Firaxis,8.2,450000,370000,30000,20000,30000,0,10410
New_International_Track_&_Field,DS_b,Konami,Sumo_Digital,7.4,80000,70000,0,0,10000,0,10424
