Game,Console,Publisher,Developer,Critic_Score,Total_Sales,NA_Sales,PAL_Sales,Japan_Sales,Other_Sales,Release_Date,Last_Update_Real
Assassin's_Creed_III,PS3_b,Ubisoft,Ubisoft_Montreal,8.8,6.50m,2.65m,2.61m,0.16m,1.08m,30th_Oct_12,12th_Apr_18
Red_Dead_Redemption,X360_b,Rockstar_Games,Rockstar_San_Diego,9.5,6.50m,3.77m,2.03m,0.09m,0.60m,18th_May_10,18th_May_10
The_Elder_Scrolls_V:_Skyrim,PS3_b,Bethesda_Softworks,Bethesda_Game_Studios,9,6.49m,2.57m,2.68m,0.25m,0.99m,11th_Nov_11,01st_Apr_18
Minecraft,PS4_b,Sony_Computer_Entertainment,Mojang,9.4,6.33m,1.89m,3.13m,0.35m,0.96m,07th_Oct_14,14th_Sep_18
FIFA_15,PS4_b,EA_Sports,EA_Canada,8.1,6.32m,0.83m,4.49m,0.05m,0.94m,23rd_Sep_14,23rd_Mar_18
Driver,PS_b,GT_Interactive,Reflections_Interactive,8.5,6.27m,3.11m,2.80m,0.02m,0.33m,30th_Jun_99,30th_Jun_99
Tekken_2,PS_b,Namco,Namco,9.1,5.74m,2.26m,1.89m,1.36m,0.23m,25th_Aug_96,25th_Aug_96
Cooking_Mama,DS_b,Majesco,Office_Create,6.6,5.66m,3.09m,1.92m,0.07m,0.58m,12th_Sep_06,12th_Sep_06
Assassin's_Creed_II,PS3_b,Ubisoft,Ubisoft_Montreal,9,5.57m,2.54m,1.95m,0.21m,0.86m,17th_Nov_09,03rd_Jan_18
Assassin's_Creed,X360_b,Ubisoft,Ubisoft_Montreal,8.2,5.55m,3.28m,1.64m,0.07m,0.56m,13th_Nov_07,13th_Nov_07
Batman:_Arkham_City,PS3_b,Warner_Bros._Interactive,Rocksteady_Studios,9.6,5.54m,2.72m,1.89m,0.11m,0.82m,18th_Oct_11,18th_Oct_11
Forza_Motorsport_3,X360_b,Microsoft_Game_Studios,Turn_10_Studios,9.2,5.50m,2.99m,1.90m,0.10m,0.51m,27th_Oct_09,27th_Oct_09
Crash_Bandicoot:_The_Wrath_of_Cortex,PS2_b,Universal_Interactive,Traveller's_Tales,6.9,5.42m,2.07m,2.29m,0.24m,0.82m,29th_Oct_01,29th_Oct_01
Final_Fantasy_XIII,PS3_b,Square_Enix,Square_Enix,8,5.35m,1.75m,1.23m,1.87m,0.51m,09th_Mar_10,09th_Mar_10
Assassin's_Creed_II,X360_b,Ubisoft,Ubisoft_Montreal,9.1,5.30m,3.14m,1.55m,0.08m,0.52m,17th_Nov_09,17th_Nov_09
Tomb_Raider_II,PS_b,Eidos_Interactive,Core_Design_Ltd.,7.6,5.24m,2.30m,2.46m,0.20m,0.28m,31st_Oct_97,31st_Oct_97
